,review_body
2512,"Just about 7 weeks after its April 29th delivery, this computer booted up to a different interface and we could not get the system back to its normal function despite the many options shown on the screen including selecting the option to do a fresh install of windows, system restore, etc. I am now left with a fancy shell of an inoperable device."
2513,Thought this to be an ok mid- priced unit. Liked it at first. Then it kept dropping off line. The dreaded blue screen shot of rebooting. This happened about every 5-10 minutes.  Two other computers in my house do not do that. Internet is fine. Sent it back as defective. They deducted $91.47 as a restocking fee. FOUND THAT TO BE EXCESSIVE. Do not buy this unit. Purchased a new one at Best Buy and it works perfectly.
2514,I’ve had this laptop for less than 24 hours and there is no Wi-Fi capacity only VPN or Ethernet! In 2022 that is totally unacceptable! Don’t waste your time or your money. I spent over an hour on the phone with HP only to have the representative hang up on me when she wasn’t able to identify the issue. Thankfully Amazon will refund my money but in the meantime I will have to go buy a working PC that actually has Wi-Fi capability.
2515,"This laptop is probably just fine for someone else, but I returned it for a full refund due to the lack of facial recognition software and a keyboard without backlighting.  Facial recognition is a great way to unlock a laptop, and can also be used in place of a password for many websites.  My condo is usually dimly lit and a keyboard that lights up makes a huge difference.  It was a mistake to order this laptop."
2516,If you hold it by the base near the touch pad the space bar will press without clicking it which can be annoying especially watching videos. Other than that it's pretty good
2517,"The computer was good looking and pretty responsive.  The screen had a sharp image. But that's as far as I got.  I had the computer running a total of about 1 1/2 hours when it put up a blue screen and froze! Will I get another HP? I'd like to think this is ""one-in-a-million"" but I do get dubious."
2518,"I'm a casual home user.  This unit is awful.  I don't know the verbiage, but I've had nothing but problems since my purchase 2+ months ago.  I still have my old HP PC which still works, it's at least 10 yrs old.  I'm done w HP."
2519,Purchased brand new. Inexplicably turns off by itself while on a full charge and plugged in. There's also a fun bug in Windows 11 that turns off the wifi by itself and won't let you turn it back unless you do a full power-down (I've run all Windows updates). Restarting the computer doesn't fix the issue. Pretty bummed out that I've only had this a few months and it's a complete lemon. Not sure I've had such a frustrating experience with a piece of technology before.
2520,"Wifi function routinely disappears. The fix is spending hours on the phone with hp while they completely wipe the laptop and reinstall everything.  Really handy.  👌  AND since there's no ethernet port, it's basically the most worthless laptop available."
2521,"Barely two weeks after having received the laptop, the wifi drivers are barely working. The laptop consistently acts as though wifi does not exist and I am constantly forced to restart the laptop just to get it to recognize local wifi connections."
2522,"I bought this laptop a week ago was excited to try it out. Set it up and then one day later it wouldn't identify the WiFi. I tried network reset , reset adapter but nothing worked.  Had to send it back. Don't buy this one. There is some problem with the WiFi adapter."
2523,"This product met my expectations. I use it to run software for my Laser Engraver.  i bought an external Docking device that allows me to have more USB ports, and an Ethernet port as well as a few more."
