,Performance Sentences,Performance Polarity
3136,"i installed steam, amd tuning utility, & a custom version of windows 10. total ram on idle was 1.2g.",Neutral
3137,"its performance is so so, the screen quality could be much improved but what i am going to address is the port and the charger and the expense involved to fix it or replace it.",Positive
3138,"the graphics quality is amazing, it runs so many games, and best of all it is a fair price.",Positive
3139,"this acer has blown me away with the performance, screen quality & battery life.",Neutral
3140,"just got this laptop today so far i love it runs fast i,m waiting on another 4gb of ram to come so it will run even faster.",Positive
3141,very good basic computer with potential to up grade.not good for gaming.but after putting in 2 34ram sticks and a hard storage.gaming is very smooth and clear.if you get the ryzen 5 gameplay would be wonderful.but i got the cheeper ryzen3,Positive
3142,i bought this computer because it said 4.2 ghz processor however is system information it says 2.40 ghz processor.,Neutral
3143,"had never used an amd processor, before. | let us just say that i will never buy another laptop/pc powered by an amd processor, again.",Neutral
3144,great computer with added ram.,Positive
3145,ram comes with 4gb although is expandable.,Neutral
3146,this is my second acer chrome book but the performance does not compare to my first acer purchased 4 years ago the second acer has difficulty loading apps and must continually be re-booted.,Positive
3147,"but i also write and read a lot, and some programming, so the long battery life is very useful.",Positive
3148,so far i am very impressed with the quality and performance.,Positive
3149,i am overwhelmed by the quality and performance of this acer laptop.,Neutral
3150,i was wondering why it is so slow and everything seems to be error turns out it is missing ssd and the gpu is working by 9% please do not get it,Negative
3151,i did buy an extra 4gb ram which was easy to install.,Positive
3152,"it does not make any sound (using the same kind of edition and programming apps with an intel 2019 version, which is quite noisy). | the only pitfall so far i have seen is that still after 1 year of having arm based processors, some apps still are not natively compatible and it requires rosetta 2. it definitely worth it.",Positive
3153,"so yea, i would totally recommend this to anyone who is needing an affordable and high-performance laptop for daily use.",Neutral
3154,they are master programers so they know more about computers than i .,Positive
3155,the processor (intel core i3-1005g1) on the website says that it get up to 3.4ghz but the cpu only actually runs at 1.20 to 1.19 ghz. | that is a pretty big deal considering that the main reason i bought this laptop was because of the cpu power and the amount of ram.,Positive
3156,i opted to add a 1 to had and 4 gb of ram.,Neutral
3157,the soldered in m.2 storage and committing to your ram choice for the life of the laptop is my only complaint. | so far i am not finding 8gb of ram to be an issue. | most of the programs for mac os are pretty well optimized for the m1 chip.,Positive
3158,"this acer laptop pc has a good display, the backlit keyboard is a real plus and the machine delivers decent performance.",Positive
3159,"if you just need a laptop... this thing is priced well, boots fast, efficient, just enough programs to help with any tasks, perfect amount of storage (if you meed more, or more ram, easily upgradeable.",Positive
3160,if you spend $30 to double the ram then you have a full-functioning amazing laptop that will not lag at all and for less than the cost of a decent chromebook.,Positive
3161,"like at least one other reviewer mentioned, did not come with ram. | just received a week ago and all is running fine with my own ram i bought separately, but to those considering using it as-is, be aware that this might be an issue. | amazing that a missing ram module got past quality control unless they seriously expect people to just buy their own ram since 8gb is sort of a joke for this computer. | that or less likely, i got an amazon return from someone who could not bother to put the 8gb ram back and it was not correctly listed as ""renewed"".",Positive
3162,"already tried setting it to high performance, playing around with nvidia’s settings and it is still the same.",Positive
3163,upgraded the ram to 8 gigs for $17.,Neutral
3164,also cpu reaches 100c casually.,Negative
3165,"oh and it apparently has no processing strength, despite how much ram it boasts.",Positive
3166,"the graphics performance is very good, not the best for intensive graphic or video editing but for most everyone this is an excellent laptop with plenty of power. | i am quite surprised how well it performs as a graphics workstation.",Positive
3167,i guess i am going to have to return it..after i bought a hard drive and more ram...i am so mad!!!,Negative
3168,"it was great at first, now i have to restart my computer for my keyboard to work, when my monitor goes into rest mode i have to power it off with the power button, and now my graphics card is not even showing up in my system, it is using my cpu as my graphics card… i paid a grand for my computer so i would not have to go through the struggles of building one myself, and not have to worry about it being crap in less than a year.",Positive
3169,"one thing that surprised me on this laptop was the graphics. | i have ordered the 4gb extra ddr to get a performance boost, that should be the first thing done to this laptop, after turning off windows s mode and uninstalling bloatware.",Positive
