,Battery Sentences,Battery Polarity
2111,"lightweight, good battery length of charge, cost effective windows upgrade.",Positive
2112,the only thing really holding this thing back would be it is battery life.,Positive
2113,it is lightweight and the battery life is impressive.,Positive
2114,"after checking the only other usb c port, the battery was entirely drained and failed the diagnosis test.",Negative
2115,"love what you get for the price, battery life is great as well as screen quality",Positive
2116,"pros: cheap, reliable, awesome battery life, convertible to tablet mode which increases utility",Positive
2117,battery life is really decent and so far the laptop is really dependable.,Positive
2118,"very fast, great battery life, and keyboard felt amazing.",Positive
2119,"the keyboard does not stay lit, but i figure that is to conserve battery life so i am okay with that.",Positive
2120,good battery life.,Positive
2121,good battery life.,Positive
2122,battery came dead as a doornail.,Negative
2123,fast recharge even from zero; which means no problem on battery life.,Positive
2124,"the battery usually stays charged throughout the day, even when the power mode is set to 'best performance'.",Positive
2125,the battery seems to be quite good.,Positive
2126,runs fine if you turn you graphics down and the battery drains super fast.,Positive
2127,in fact i just found it does not even have a battery that you can take out.,Neutral
2128,not to mention this laptop is only about 3lbs with incredible long lasting battery.,Positive
2129,"nice color of screen, runs fast, battery life great!",Positive
2130,idk about some of these reviews but this have been great since i got it this morning it is fast battery life is great i will check back an a few weeks an give another update i had to buy another computer because my first one did not have everything i needed for school but this is amazing i love this laptop,Positive
2131,it works fine battery life is horrible from fully charged to dead in 30 minutes.,Negative
2132,"the battery is awful, on a full charge i only got 1 hour of continued use.",Negative
2133,the brightness is low compared to the other laptops but i think that is only because of all the good specs the battery can only takes so much but really good for gaming,Positive
2134,the battery life is not very good though.,Negative
2135,the laptop kept locking up and had to be battery reset several times.,Neutral
2136,battery is perfect also.,Positive
2137,removed battery and that worked.,Neutral
2138,"i bought this computer by the advices of some friends and i do not regret it, is really fast, the battery might be kind of weird sometimes, but overall it does the job, would recommend.",Positive
2139,screen is clear and the battery seems to last.,Positive
2140,i did have to replace the battery a few years back.,Negative
2141,i really like the speed and the battery longetivity! | the battery life is still amazing 5 months later,Positive
2142,"now for battery, you get like 3-4 hours tops just from browser use (i did have battery save mode on, you could probably get a little more battery life using lower screen brightness but i like to keep it at around 80% and that is the battery life i get.",Positive
2143,battery life and screen quality is perfect for me!,Positive
2144,"easy to load internet and other features, light wt, good battery",Positive
2145,battery backup is pretty good.,Positive
2146,laptop over heated a few weeks after using along with the battery pack!,Negative
2147,"well, now the battery will not charge and is stuck on 13% despite leaving it plugged in.",Neutral
2148,"its fast enough, very lightweight and so far has had excellent battery power.",Positive
